hold,feature_set,fold,model_kind,threshold_bps,train_candidates,calibration_candidates,test_candidates,selected_trades,selected_expectancy_bps,selected_win_rate,portfolio_return,max_drawdown,test_mae_bps,test_r2,gap_stop_count,symbol_counts
2_sessions,geometry,2,tree,10.0,1076,269,372,159,2.176895163998854,0.3081761006289308,0.00448509257150409,0.28550165548173523,167.250098369661,-0.002551048085161378,2,"{""MSFT"": 60, ""AAPL"": 50, ""TSLA"": 49}"
2_sessions,geometry,3,tree,10.0,1373,344,365,0,,,0.0,0.0,129.07568659189542,-0.04706854062501997,0,{}
2_sessions,geometry,4,tree,10.0,1665,417,364,131,62.06470878979367,0.5725190839694656,1.2161902987107926,0.06020437208314984,113.75254862585818,0.05042970622533194,3,"{""MSFT"": 46, ""TSLA"": 46, ""AAPL"": 39}"
2_sessions,geometry,1,tree,15.0,784,197,364,144,16.773433663308968,0.4027777777777778,0.24559721960209968,0.10777661549443587,139.70949774991576,-0.06163698834521236,6,"{""MSFT"": 50, ""AAPL"": 49, ""TSLA"": 45}"
2_sessions,geometry,2,tree,15.0,1076,269,372,144,-0.8169485341950213,0.3125,-0.03729511916265138,0.23744825652034013,167.250098369661,-0.002551048085161378,2,"{""MSFT"": 56, ""TSLA"": 45, ""AAPL"": 43}"
2_sessions,geometry,3,tree,15.0,1373,344,365,0,,,0.0,0.0,129.07568659189542,-0.04706854062501997,0,{}
2_sessions,geometry,4,tree,15.0,1665,417,364,120,63.88682243549177,0.5833333333333334,1.118203714875758,0.06020437208314987,113.75254862585818,0.05042970622533194,2,"{""MSFT"": 44, ""TSLA"": 42, ""AAPL"": 34}"
5_sessions,baseline,1,ridge,5.0,784,197,364,172,24.806459997097907,0.4186046511627907,0.49032666086798193,0.08759120994692189,137.8187259673209,-0.009153648559075744,7,"{""MSFT"": 60, ""TSLA"": 59, ""AAPL"": 53}"
5_sessions,baseline,2,ridge,5.0,1076,269,372,152,12.585777470451069,0.34210526315789475,0.1690963201227238,0.20110873852455627,175.22149325731422,-0.06568034610068274,1,"{""TSLA"": 55, ""AAPL"": 51, ""MSFT"": 46}"
5_sessions,baseline,3,ridge,5.0,1373,344,365,94,73.0922438232254,0.5531914893617021,0.9560979139348609,0.042723371498474744,126.6600784190698,-0.029551960651893916,4,"{""TSLA"": 35, ""AAPL"": 32, ""MSFT"": 27}"
5_sessions,baseline,4,ridge,5.0,1665,417,364,135,62.693042737417905,0.5481481481481482,1.2885771059562026,0.052061105720014385,112.62857050714078,0.07461227727261865,4,"{""TSLA"": 52, ""MSFT"": 42, ""AAPL"": 41}"
5_sessions,baseline,1,ridge,10.0,784,197,364,172,24.806459997097907,0.4186046511627907,0.49032666086798193,0.08759120994692189,137.8187259673209,-0.009153648559075744,7,"{""MSFT"": 60, ""TSLA"": 59, ""AAPL"": 53}"
5_sessions,baseline,2,ridge,10.0,1076,269,372,144,12.356025618292598,0.3402777777777778,0.15563943635840527,0.20110873852455607,175.22149325731422,-0.06568034610068274,1,"{""TSLA"": 53, ""AAPL"": 48, ""MSFT"": 43}"
5_sessions,baseline,3,ridge,10.0,1373,344,365,56,131.33194479648043,0.6964285714285714,1.060852617100676,0.025156716047134656,126.6600784190698,-0.029551960651893916,4,"{""TSLA"": 22, ""MSFT"": 17, ""AAPL"": 17}"
5_sessions,baseline,4,ridge,10.0,1665,417,364,126,62.16261811580456,0.5555555555555556,1.1529972636250743,0.05206110572001433,112.62857050714078,0.07461227727261865,4,"{""TSLA"": 46, ""MSFT"": 41, ""AAPL"": 39}"
5_sessions,baseline,1,ridge,15.0,784,197,364,171,26.040160151722564,0.42105263157894735,0.518596282282483,0.08759120994692189,137.8187259673209,-0.009153648559075744,7,"{""MSFT"": 60, ""TSLA"": 58, ""AAPL"": 53}"
5_sessions,baseline,2,ridge,15.0,1076,269,372,134,11.228142702559394,0.3358208955223881,0.12601803261730615,0.2109719456036543,175.22149325731422,-0.06568034610068274,1,"{""TSLA"": 53, ""AAPL"": 41, ""MSFT"": 40}"
5_sessions,baseline,3,ridge,15.0,1373,344,365,23,145.39171274939224,0.6956521739130435,0.38796927936299674,0.021145186810369736,126.6600784190698,-0.029551960651893916,2,"{""TSLA"": 14, ""AAPL"": 7, ""MSFT"": 2}"
5_sessions,baseline,4,ridge,15.0,1665,417,364,121,67.96616851030923,0.5619834710743802,1.2399976794678031,0.046554082090663064,112.62857050714078,0.07461227727261865,4,"{""TSLA"": 43, ""MSFT"": 41, ""AAPL"": 37}"
5_sessions,baseline,1,tree,5.0,784,197,364,158,17.90782598262538,0.3924050632911392,0.2959103493776165,0.10296808394729336,139.21978397851356,-0.04122718791018687,8,"{""MSFT"": 58, ""AAPL"": 53, ""TSLA"": 47}"
5_sessions,baseline,2,tree,5.0,1076,269,372,152,6.264309421530035,0.3157894736842105,0.06774353899462615,0.2213777965008515,167.33079687155043,-0.004055132579238618,2,"{""MSFT"": 61, ""AAPL"": 49, ""TSLA"": 42}"
5_sessions,baseline,3,tree,5.0,1373,344,365,157,15.750088981736242,0.37579617834394907,0.25782466463565656,0.08099597509490264,130.3356428091864,-0.06649424134690629,8,"{""AAPL"": 58, ""MSFT"": 57, ""TSLA"": 42}"
5_sessions,baseline,4,tree,5.0,1665,417,364,144,47.590497924010734,0.5486111111111112,0.9535513369488895,0.05355061125743397,116.93313440570377,0.022430355959737414,2,"{""AAPL"": 53, ""MSFT"": 46, ""TSLA"": 45}"
5_sessions,baseline,1,tree,10.0,784,197,364,151,19.347464124357554,0.3973509933774834,0.3099937444630021,0.10109824571291046,139.21978397851356,-0.04122718791018687,7,"{""MSFT"": 53, ""AAPL"": 52, ""TSLA"": 46}"
